ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Scott,2/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/12/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,5384
Haley,2/12/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,3822
DeSantis,2/13/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,313
Trump,2/13/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.46,4830
Biden,2/13/2024 12:00:00 AM,$0.40,$0.41,$0.39,$0.41,6815
Harris,2/13/2024 12:00:00 AM,$0.06,$0.06,$0.04,$0.06,1257
Buttigieg,2/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/13/2024 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,3374
Ramaswamy,2/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,500
Scott,2/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/13/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.06,2614
Haley,2/13/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,1691
DeSantis,2/14/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1716
Trump,2/14/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,10151
Biden,2/14/2024 12:00:00 AM,$0.41,$0.41,$0.39,$0.41,12596
Harris,2/14/2024 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,5187
Buttigieg,2/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,500
Newsom,2/14/2024 12:00:00 AM,$0.12,$0.14,$0.12,$0.13,4528
Ramaswamy,2/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,2/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/14/2024 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,5449
Haley,2/14/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,3742
DeSantis,2/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2323
Trump,2/15/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.46,3623
Biden,2/15/2024 12:00:00 AM,$0.41,$0.42,$0.40,$0.40,9824
Harris,2/15/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,2604
Buttigieg,2/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/15/2024 12:00:00 AM,$0.13,$0.14,$0.11,$0.11,7489
Ramaswamy,2/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2050
Scott,2/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,500
RFK Jr.,2/15/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.06,4948
Haley,2/15/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,10071
DeSantis,2/16/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1785
Trump,2/16/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,4735
Biden,2/16/2024 12:00:00 AM,$0.40,$0.42,$0.40,$0.42,4834
Harris,2/16/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,5299
Buttigieg,2/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,500
Newsom,2/16/2024 12:00:00 AM,$0.11,$0.12,$0.10,$0.12,4035
Ramaswamy,2/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Scott,2/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/16/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,4941
Haley,2/16/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1277
DeSantis,2/17/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,298
Trump,2/17/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.45,5308
Biden,2/17/2024 12:00:00 AM,$0.42,$0.42,$0.40,$0.41,5417
Harris,2/17/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,11
Buttigieg,2/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/17/2024 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,902
Ramaswamy,2/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,109
Scott,2/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/17/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,2213
Haley,2/17/2024 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,317
DeSantis,2/18/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,8405
Trump,2/18/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.45,7659
Biden,2/18/2024 12:00:00 AM,$0.41,$0.43,$0.41,$0.42,9049
Harris,2/18/2024 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,4348
Buttigieg,2/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1200
Newsom,2/18/2024 12:00:00 AM,$0.11,$0.13,$0.10,$0.11,10444
Ramaswamy,2/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1035
Scott,2/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/18/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,5094
Haley,2/18/2024 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,6321
